Year,Current City,Current State,Current Country,Permanent City,Permanent State,Permanent Country,Course
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,NEW DELHI,DELHI,India,NEW DELHI,DELHI,INDIA,BBA (Business Analytics)
2019,SUNDARGARH,ODISHA,India,SUNDARGARH,ODISHA,INDIA,BBA (Business Analytics)
2019,RAIGAD,MAHARASHTRA,India,RAIGAD,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,RAMPUR,UTTAR PRADESH,India,RAMPUR,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,KOLKATA,WEST BENGAL,India,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2019,LUCKNOW,UTTAR PRADESH,India,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,NORTH DELHI,DELHI,India,NORTH DELHI,DELHI,INDIA,BBA (Business Analytics)
2019,PUNE,MAHARASHTRA,India,PUNE,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,PRAKASAM,ANDHRA PRADESH,India,PRAKASAM,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,AHMEDABAD,GUJARAT,India,AHMEDABAD,GUJARAT,INDIA,BBA (Business Analytics)
2019,COIMBATORE,TAMILNADU,India,COIMBATORE,TAMILNADU,INDIA,BBA (Business Analytics)
2019,SURAT,GUJARAT,India,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2019,WEST GODAVARI,ANDHRA PRADESH,India,WEST GODAVARI,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,KRISHNA,ANDHRA PRADESH,India,KRISHNA,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,AHMEDABAD,GUJARAT,India,AHMEDABAD,GUJARAT,INDIA,BBA (Business Analytics)
2019,NAGPUR,MAHARASHTRA,India,NAGPUR,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,LUDHIANA,PUNJAB,India,LUDHIANA,PUNJAB,INDIA,BBA (Business Analytics)
2019,KOLKATA,WEST BENGAL,India,KOLKATA,WEST BENGAL,INDIA,BBA (Business Analytics)
2019,RAIPUR,CHHATTISGARH,India,RAIPUR,CHHATTISGARH,INDIA,BBA (Business Analytics)
2019,NAGPUR,MAHARASHTRA,India,nurpur,HIMACHAL PRADESH,INDIA,BBA (Business Analytics)
2019,MUMBAI,MAHARASHTRA,India,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,CACHAR,ASSAM,India,CACHAR,ASSAM,INDIA,BBA (Business Analytics)
2019,SOUTH GOA,GOA,India,SOUTH GOA,GOA,INDIA,BBA (Business Analytics)
2019,BANGALORE URBAN,KARNATAKA,India,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2019,BALESHWAR,ODISHA,India,BALESHWAR,ODISHA,INDIA,BBA (Business Analytics)
2019,PATNA,BIHAR,India,PATNA,BIHAR,INDIA,BBA (Business Analytics)
2019,BAHRAICH,UTTAR PRADESH,India,BAHRAICH,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,VADODARA,GUJARAT,India,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,INDORE,MADHYA PRADESH,India,Mandleshwar,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2019,MUMBAI,MAHARASHTRA,India,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,MUMBAI SUBURBAN,MAHARASHTRA,India,MUMBAI SUBURBAN,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,DEHRA DUN,UTTARAKHAND,India,DEHRA DUN,UTTARAKHAND,INDIA,BBA (Business Analytics)
2019,NEW DELHI,DELHI,India,NEW DELHI,DELHI,INDIA,BBA (Business Analytics)
2019,NAGPUR,MAHARASHTRA,India,NAGPUR,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,NAGPUR,MAHARASHTRA,India,NAGPUR,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,GUNTUR,ANDHRA PRADESH,India,GUNTUR,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,LUCKNOW,UTTAR PRADESH,India,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,DARJILING,WEST BENGAL,India,DARJILING,WEST BENGAL,INDIA,BBA (Business Analytics)
2019,IDUKKI,KERALA,India,IDUKKI,KERALA,INDIA,BBA (Business Analytics)
2019,SURAT,GUJARAT,India,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2019,KHURDA,ODISHA,India,KHURDA,ODISHA,INDIA,BBA (Business Analytics)
2019,EAST GODAVARI,ANDHRA PRADESH,India,EAST GODAVARI,ANDHRA PRADESH,INDIA,BBA (Business Analytics)
2019,JAIPUR,RAJASTHAN,India,JAIPUR,RAJASTHAN,INDIA,BBA (Business Analytics)
2019,NIZAMABAD,TELANGANA,India,NIZAMABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,EAST DELHI,DELHI,India,EAST DELHI,DELHI,INDIA,BBA (Business Analytics)
2019,HYDERABAD,TELANGANA,India,HYDERABAD,TELANGANA,INDIA,BBA (Business Analytics)
2019,BANGALORE URBAN,KARNATAKA,India,BANGALORE URBAN,KARNATAKA,INDIA,BBA (Business Analytics)
2019,BULANDSHAHR,UTTAR PRADESH,India,BULANDSHAHR,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,SURAT,GUJARAT,India,SURAT,GUJARAT,INDIA,BBA (Business Analytics)
2019,MUMBAI,MAHARASHTRA,India,MUMBAI,MAHARASHTRA,INDIA,BBA (Business Analytics)
2019,MEERUT,UTTAR PRADESH,India,MEERUT,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,GURGAON,HARYANA,India,GURGAON,HARYANA,INDIA,BBA (Business Analytics)
2019,PASCHIMI SINGHBHUM,JHARKHAND,India,PASCHIMI SINGHBHUM,JHARKHAND,INDIA,BBA (Business Analytics)
2019,HOSHANGABAD,MADHYA PRADESH,India,HOSHANGABAD,MADHYA PRADESH,INDIA,BBA (Business Analytics)
2019,LUCKNOW,UTTAR PRADESH,India,LUCKNOW,UTTAR PRADESH,INDIA,BBA (Business Analytics)
2019,NORTH GOA,GOA,India,NORTH GOA,GOA,INDIA,BBA (Business Analytics)
2019,KANPUR NAGAR,UTTAR PRADESH,India,KANPUR NAGAR,UTTAR PRADESH,INDIA,BBA (Business Analytics)
