Year,Current City,Current State,Current Country,Permanent City,Permanent State,Permanent Country,Course
2019,AHMEDABAD,GUJARAT,India,dubai,DUBAI,UNITED ARAB EMIRATES,BBA (Business Analytics)
2020,,India,Indian,Dubai,DUBAI,UNITED ARAB EMIRATES,BBA (Business Analytics)
2022,Salmiya,KUWAIT,Kuwait,Salmiya,KUWAIT,KUWAIT,BBA (Business Analytics)
2023,Al Nahda,SHARJAH,United Arab Emirates,Al Nahda,SHARJAH,UNITED ARAB EMIRATES,BBA (Business Analytics)
2023,Doha,DOHA,Qatar,Doha,DOHA,QATAR,BBA (Business Analytics)
2024,Bhaktapur,BAGMATI,Nepal,Bhaktapur,BAGMATI,NEPAL,BBA (Business Analytics)
2024,SZ Road,DUBAI,United Arab Emirates,SZ Road,DUBAI,UNITED ARAB EMIRATES,BBA (Business Analytics)
2024,RIYADH,RIYADH,Saudi Arabia,RIYADH,RIYADH,SAUDI ARABIA,Bachelor of Business Administration (BBA)
2020,indonesia,JAKARTA,Indonesia,indonesia,JAKARTA,INDONESIA,BBA LLB (Honours)
2021,Dubai,DUBAI,United Arab Emirates,Dubai,DUBAI,UNITED ARAB EMIRATES,BBA LLB (Honours)
2020,dubai,DUBAI,United Arab Emirates,dubai,DUBAI,UNITED ARAB EMIRATES,BA LLB (Honours)
2022,CHENNAI,TAMILNADU,India,Singapore,SINGAPORE,SINGAPORE,BSc (Economics and Analytics)
2025,wakiso,WAKISO,Uganda,wakiso,WAKISO,UGANDA,"BSc (Economics, Statistics)"
2025,Amsterdam,NOORD HOLLAND,Netherlands,Jakarta,DAERAH KHUSUS IBUKOTA JAKARTA,INDONESIA,"BSc (Economics, Statistics)"
2020,TAMILNADU,India,Indian,QIBLA,KUWAIT CITY,KUWAIT,BSc (Data Science)
2025,Pyuthan,LUMBINI,Nepal,Pyuthan,LUMBINI,NEPAL,"BSc (Computer Science, Data Science)"
